Date,Open,High,Low,Close,Volume
01.10.2015 17:00:00.000 GMT-0400,1925.820,1951.494,1892.948,1951.060,79.6151
02.10.2015 17:00:00.000 GMT-0400,1951.060,1951.060,1951.060,1951.060,0
03.10.2015 17:00:00.000 GMT-0400,1951.060,1951.060,1951.060,1951.060,0
04.10.2015 17:00:00.000 GMT-0400,1953.196,1989.700,1947.970,1987.479,18.2481
05.10.2015 17:00:00.000 GMT-0400,1977.695,1991.998,1972.463,1980.323,16.8555
06.10.2015 17:00:00.000 GMT-0400,1981.173,1999.829,1975.902,1995.971,34.1544
07.10.2015 17:00:00.000 GMT-0400,1981.689,2016.998,1979.485,2013.289,24.6383
08.10.2015 17:00:00.000 GMT-0400,2016.996,2021.996,2007.146,2014.823,11.5967
09.10.2015 17:00:00.000 GMT-0400,2014.823,2014.823,2014.823,2014.823,0
10.10.2015 17:00:00.000 GMT-0400,2014.823,2014.823,2014.823,2014.823,0
11.10.2015 17:00:00.000 GMT-0400,2015.191,2019.716,2010.643,2016.684,19.9203
12.10.2015 17:00:00.000 GMT-0400,2015.722,2022.212,2001.463,2003.435,15.8266
13.10.2015 17:00:00.000 GMT-0400,2000.971,2009.499,1990.471,1994.109,17.2509
14.10.2015 17:00:00.000 GMT-0400,2003.685,2024.274,1996.859,2023.899,73.18990000000001
15.10.2015 17:00:00.000 GMT-0400,2024.969,2033.669,2020.134,2032.161,53.5941
16.10.2015 17:00:00.000 GMT-0400,2032.161,2032.161,2032.161,2032.161,0
17.10.2015 17:00:00.000 GMT-0400,2032.161,2032.161,2032.161,2032.161,0
18.10.2015 17:00:00.000 GMT-0400,2028.362,2035.201,2021.702,2034.225,66.8129
19.10.2015 17:00:00.000 GMT-0400,2032.381,2039.099,2025.987,2031.561,21.282300000000003
20.10.2015 17:00:00.000 GMT-0400,2037.425,2038.950,2017.055,2019.344,53.635600000000004
21.10.2015 17:00:00.000 GMT-0400,2021.286,2055.387,2019.721,2052.507,61.1231
